nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\matia\OneDrive\Escritorio\karaf\apache-karaf-4.4.4\lock
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
nov. 27, 2023 9:52:10 P. M. org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-11-27T21:52:10,969 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-api - 2.2.3 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-11-27T21:52:11,653 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.4
2023-11-27T21:52:11,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.4
2023-11-27T21:52:11,661 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.4
2023-11-27T21:52:11,666 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.4
2023-11-27T21:52:11,670 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf/org.apache.karaf.event/4.4.4
2023-11-27T21:52:11,676 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.4
2023-11-27T21:52:11,680 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.4
2023-11-27T21:52:11,684 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.4
2023-11-27T21:52:11,688 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.4
2023-11-27T21:52:11,692 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.4
2023-11-27T21:52:11,697 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.4
2023-11-27T21:52:11,700 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.4
2023-11-27T21:52:11,703 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.4
2023-11-27T21:52:11,707 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.4
